id,frameTime,voiceProb_sma_max,voiceProb_sma_min,voiceProb_sma_linregc1,voiceProb_sma_linregerrA,voiceProb_sma_stddev,voiceProb_sma_amean,voiceProb_sma_nnz,voiceProb_sma_duration,HNR_sma_max,HNR_sma_min,HNR_sma_linregc1,HNR_sma_linregerrA,HNR_sma_stddev,HNR_sma_amean,HNR_sma_nnz,HNR_sma_duration,F0_sma_max,F0_sma_min,F0_sma_linregc1,F0_sma_linregerrA,F0_sma_stddev,F0_sma_amean,F0_sma_nnz,F0_sma_duration,F0raw_sma_max,F0raw_sma_min,F0raw_sma_linregc1,F0raw_sma_linregerrA,F0raw_sma_stddev,F0raw_sma_amean,F0raw_sma_nnz,F0raw_sma_duration,jitterLocal_sma_max,jitterLocal_sma_min,jitterLocal_sma_linregc1,jitterLocal_sma_linregerrA,jitterLocal_sma_stddev,jitterLocal_sma_amean,jitterLocal_sma_nnz,jitterLocal_sma_duration,jitterDDP_sma_max,jitterDDP_sma_min,jitterDDP_sma_linregc1,jitterDDP_sma_linregerrA,jitterDDP_sma_stddev,jitterDDP_sma_amean,jitterDDP_sma_nnz,jitterDDP_sma_duration,jitterLocEnv_sma_max,jitterLocEnv_sma_min,jitterLocEnv_sma_linregc1,jitterLocEnv_sma_linregerrA,jitterLocEnv_sma_stddev,jitterLocEnv_sma_amean,jitterLocEnv_sma_nnz,jitterLocEnv_sma_duration,jitterDEnv_sma_max,jitterDEnv_sma_min,jitterDEnv_sma_linregc1,jitterDEnv_sma_linregerrA,jitterDEnv_sma_stddev,jitterDEnv_sma_amean,jitterDEnv_sma_nnz,jitterDEnv_sma_duration,shimmerLocal_sma_max,shimmerLocal_sma_min,shimmerLocal_sma_linregc1,shimmerLocal_sma_linregerrA,shimmerLocal_sma_stddev,shimmerLocal_sma_amean,shimmerLocal_sma_nnz,shimmerLocal_sma_duration,shimmerLocEnv_sma_max,shimmerLocEnv_sma_min,shimmerLocEnv_sma_linregc1,shimmerLocEnv_sma_linregerrA,shimmerLocEnv_sma_stddev,shimmerLocEnv_sma_amean,shimmerLocEnv_sma_nnz,shimmerLocEnv_sma_duration,pcm_intensity_sma_max,pcm_intensity_sma_min,pcm_intensity_sma_linregc1,pcm_intensity_sma_linregerrA,pcm_intensity_sma_stddev,pcm_intensity_sma_amean,pcm_intensity_sma_nnz,pcm_intensity_sma_duration,NUV
55029,0.025,0.9463328999999999,0.17356229999999997,-0.0007374465,0.184374,0.2316354,0.6073451999999999,358,358,460.517,-19.32133,0.5314916000000001,75.61575,122.0715,55.82411999999999,358,358,460.4338,0,-0.34648870000000004,78.4296,103.364,59.80696,96,358,492.3076,0.0,-0.23578289999999996,111.8679,132.4778,270.9066,335,358,0.6623679,0,-0.000139695,0.08816992,0.1107001,0.10297329999999999,329,358,0.6623679,0.0013099639999999998,0.0001437849,0.08656745,0.1109895,0.1276029,358,358,0.7989221,0.0,-0.00018157419999999998,0.08080053,0.11635539999999998,0.09044562,324,358,0.7989221,0.001255784,4.5302240000000004e-05,0.08142509,0.1152001,0.11163569999999999,358,358,0.9015458000000001,0.0,0.00019777810000000002,0.2060862,0.240484,0.2624411,335,358,1.0,0.0065979590000000005,0.0009710402,0.2128754,0.27186259999999995,0.3242212,358,358,2.139525e-05,1.652928e-10,-1.2846930000000002e-08,1.8536080000000001e-06,3.425235e-06,1.295901e-06,358,358,262
05068,0.025,0.896848,0.02865628,-0.0004841664,0.1200146,0.216892,0.6787211,1048,1048,460.517,-22.07452,0.02805472,29.50072,69.81534,22.86869,1048,1048,463.1328,0,-0.20102520000000001,37.21799,78.85648,69.40641,493,1048,492.3076,0.0,0.12175899999999999,64.58634,102.2581,180.074,1031,1048,1.0,0,0.0002085211,0.109802,0.18863470000000002,0.09915007,1020,1048,1.0,0.0,0.0002310511,0.10956019999999998,0.1894106,0.10459919999999999,1042,1048,1.0,0.0,0.0002034833,0.1191808,0.19614720000000002,0.1042385,1020,1048,1.0,0.0,0.0002419156,0.1223053,0.19990929999999998,0.113554,1047,1048,1.0,0.0,0.0004144101,0.1432985,0.23006639999999998,0.1830433,1028,1048,1.0,0.0015141220000000001,0.00044846800000000004,0.138665,0.23044499999999998,0.1918181,1048,1048,6.6697130000000004e-06,2.968772e-10,-6.041337e-10,5.254311e-07,8.420311999999999e-07,5.814198e-07,1048,1048,555
61496,0.025,0.7635751000000001,0.22433809999999998,1.3714429999999998e-06,0.04957336,0.06342516,0.4517969,2658,2658,460.517,-19.10223,0.009774834,13.543610000000001,43.44716,2.94401,2658,2658,0.0,0,0.0,0.0,0.0,0.0,0,2658,480.0951,0.0,0.08996998,84.52445,125.6544,177.939,2646,2658,1.0,0,6.466793000000001e-05,0.21541279999999996,0.2713095,0.21067339999999998,2480,2658,1.0,0.0,7.196096e-05,0.21530839999999998,0.27251929999999996,0.2165902,2511,2658,1.0,0.0,6.831701e-05,0.2600288,0.30839590000000006,0.2554884,2619,2658,1.0,7.795784e-05,7.165581e-05,0.26941729999999997,0.3169215,0.2699322,2658,2658,0.9021739,0.0,0.00010732649999999999,0.1575506,0.21045729999999999,0.3049099,2640,2658,0.9021739,0.001282286,0.00011124090000000001,0.15591939999999999,0.20964210000000003,0.3085768,2658,2658,3.2021839999999996e-06,1.228983e-10,-6.392146e-11,7.074433e-08,1.6722360000000002e-07,7.681518e-08,2658,2658,2658
50377,0.025,0.9486575999999999,0.03268147,4.494075000000001e-06,0.01245471,0.05162118,0.9323562,2368,2368,460.517,-5.504747,0.0001599398,1.242194,12.30562,27.432059999999996,2368,2368,360.9887,0,0.004365173,5.9433050000000005,24.53589,204.7829,2337,2368,389.8721,0.0,0.003515953,2.821273,10.50358,207.4793,2367,2368,0.8266048,0,-4.184181e-06,0.006694763,0.03312906,0.005842231,2364,2368,0.8266048,0.0,-3.931562e-06,0.006783622,0.03326617,0.005942067,2366,2368,0.6477316999999999,0.0,-3.4931569999999997e-06,0.006486542,0.03181045,0.0053854409999999995,2364,2368,0.6477316999999999,0.0,-2.306609e-06,0.0071250440000000005,0.03475348,0.00585437,2366,2368,0.5181194,0.0,2.808843e-06,0.01356442,0.03494167,0.02579414,2367,2368,0.5181194,0.0,3.33822e-06,0.01388579,0.03604738,0.02600342,2367,2368,1.7824110000000002e-05,9.306388e-10,2.579346e-10,2.0432640000000003e-06,2.526283e-06,3.5144619999999998e-06,2368,2368,31
44574,0.025,0.9098158000000002,0.2019486,-0.0002899088,0.1215617,0.18224820000000003,0.6512422,1358,1358,313.3351,-22.96552,0.0006193098999999999,16.997970000000002,38.99001,12.92305,1358,1358,169.3122,0,-0.11389160000000002,41.6065,66.74719,37.796479999999995,341,1358,449.4172,64.60406,0.08348398,62.652969999999996,88.09588000000001,191.2122,1358,1358,0.9830771999999999,0,0.00012353899999999998,0.11200239999999999,0.1660912,0.1173825,1350,1358,0.9830771999999999,0.0,0.0001319136,0.1124404,0.1667494,0.1215239,1355,1358,1.0,0.0,0.00012677870000000002,0.1295439,0.1872811,0.1263256,1345,1358,1.0,0.0,0.0001343285,0.128924,0.1872409,0.13031220000000002,1354,1358,0.8368368,0.0,0.00017359599999999998,0.1059724,0.15429779999999998,0.1919082,1329,1358,0.8368368,0.0,0.0001844912,0.1057357,0.1560405,0.19669820000000002,1331,1358,5.715634e-05,3.23798e-10,-1.107883e-08,4.498719e-06,8.10221e-06,4.894026e-06,1358,1358,1017
76373,0.025,0.9210868000000001,0.05092772,-0.0003521124,0.1733094,0.22772270000000003,0.6040612,858,858,460.517,-26.00591,0.13687760000000002,56.07595,93.47525,37.43488,858,858,203.838,0,-0.10755250000000001,36.65602,56.684709999999995,27.57276,187,858,492.3076,0.0,0.03953016,92.53139,116.4237,217.7126,840,858,0.8411579,0,0.0001216398,0.11018910000000001,0.1436829,0.1310433,811,858,0.8411579,0.0,0.00023726740000000002,0.10661880000000001,0.14815520000000001,0.1567721,857,858,1.0,0.0,0.0001167207,0.11541389999999999,0.1624354,0.1274603,795,858,1.0,0.0,0.0002604148,0.1157129,0.1732954,0.1566616,857,858,0.8936761000000001,0.0,0.0001365174,0.1256264,0.17083679999999998,0.2008007,826,858,0.8936761000000001,0.003548415,0.0002577301,0.1268308,0.180843,0.23111639999999997,858,858,9.254965e-06,9.859474e-11,-1.8127320000000002e-09,5.470307e-07,1.03233e-06,5.444605999999999e-07,858,858,671
68117,0.025,0.954896,0.01447306,-0.0001162366,0.06618785,0.1350007,0.8986616,1208,1208,460.517,-9.099847,0.04161472,21.828210000000002,54.78325,34.708090000000006,1208,1208,251.3123,0,-0.05495685,30.50478,58.955909999999996,201.5644,1122,1208,442.3665,0.0,-0.04247922,11.2202,34.74926,218.4483,1196,1208,0.6730995,0,-1.1324010000000001e-05,0.02307805,0.05931779,0.01679542,1187,1208,0.6786441999999999,0.00031367790000000003,3.041052e-05,0.03734928,0.08372942,0.02550983,1208,1208,0.6622380999999999,0.0,-1.923542e-05,0.02111399,0.05899061,0.01468479,1183,1208,0.6766884,0.0002517074,7.566962999999999e-06,0.02995789,0.07592063,0.02032308,1208,1208,0.7514845,0.0,5.887426e-06,0.03261097,0.07092525,0.05339612,1190,1208,0.7514845,0.0033513009999999997,4.408603e-05,0.0423446,0.08929712,0.06131086,1208,1208,4.418259e-06,1.048648e-10,-5.947713e-10,2.727943e-07,4.4364530000000003e-07,4.968568e-07,1208,1208,86
88947,0.025,0.8267260000000001,0.1766902,-8.813276e-05,0.06647184,0.113979,0.7762198,1587,1587,313.2146,-17.5981,-0.007486773,4.361749,13.27273,13.47519,1587,1587,0.0,0,0.0,0.0,0.0,0.0,0,1587,473.467,55.29968,-0.01394726,10.19822,27.74442,114.3307,1587,1587,1.0,0,9.025404000000001e-05,0.06324435,0.1335534,0.03615308,1576,1587,1.0,0.0,8.926113000000001e-05,0.0633701,0.1337223,0.03641737,1576,1587,1.0,0.0,8.651898999999999e-05,0.06257389,0.1316174,0.0359217,1586,1587,1.0,5.532468000000001e-05,8.778950999999999e-05,0.06396527,0.1330772,0.03697181,1587,1587,0.8999269,0.0,8.482476999999999e-05,0.05967157,0.1178623,0.06166647,1584,1587,0.8999269,0.0,8.316978e-05,0.06010029,0.1184529,0.06210699,1584,1587,1.0799560000000001e-05,5.8778050000000005e-09,-2.371807e-10,1.785933e-06,2.139445e-06,2.771241e-06,1587,1587,1587
45758,0.025,0.9880815999999999,0.08999567,-9.516011e-05,0.1560236,0.20274360000000002,0.8164786,2188,2188,460.517,-45.23827,0.003700802,21.06488,63.17203000000001,30.48309,2188,2188,492.3076,0,-0.02536004,101.0453,114.7645,167.6641,1551,2188,492.3076,0.0,0.04860519,47.3269,79.08997,240.0598,2153,2188,1.0,0,2.003904e-05,0.09091,0.1447892,0.06924372,2147,2188,1.0,0.0,2.429752e-05,0.09231933,0.14550629999999998,0.07227876,2184,2188,1.0,0.0,7.820515e-06,0.10615839999999999,0.164436,0.07623325,2141,2188,1.0,0.0,8.082121e-06,0.10907449999999999,0.1650272,0.08076157,2185,2188,1.0,0.0,7.920255e-05,0.10739030000000001,0.1640034,0.1197452,2152,2188,1.0,0.0,8.854876e-05,0.11179449999999999,0.1687931,0.1257534,2186,2188,1.177609e-05,3.106252e-12,-4.978103e-10,7.412423000000001e-07,1.161236e-06,1.068191e-06,2188,2188,637
25066,0.025,0.7911599,0.20106279999999999,-2.180845e-05,0.02943108,0.0645724,0.706956,2758,2758,460.517,-27.51567,-0.001876946,2.3672400000000002,14.60237,9.382366000000001,2758,2758,0.0,0,0.0,0.0,0.0,0.0,0,2758,438.5185,0.0,0.00935923,11.890460000000001,35.62818,96.55344000000001,2756,2758,0.9271889000000001,0,7.728061e-06,0.01006132,0.03667233,0.009732421,2717,2758,0.9271889000000001,0.0,8.950698e-06,0.01133763,0.04141667,0.0103123,2718,2758,0.7684858,0.0,5.213048e-06,0.008992725,0.03431585,0.009193759000000001,2752,2758,0.7684858,0.0,5.364092000000001e-06,0.00919705,0.03439482,0.009479890999999999,2754,2758,0.7089308000000001,0.0,1.4513220000000002e-05,0.02781595,0.0487911,0.04833209,2756,2758,0.7089308000000001,0.0,1.45418e-05,0.0278347,0.04883493,0.04834566,2756,2758,1.2550539999999999e-05,1.587928e-10,-3.791538e-10,1.7136959999999999e-06,2.207269e-06,2.1556200000000003e-06,2758,2758,2758
78597,0.025,0.9697650999999999,0.24718800000000002,-0.0001518672,0.08819939,0.1440495,0.8654757,1208,1208,460.517,-11.7482,-0.003756937,9.300117,30.56754,25.87699,1208,1208,300.9463,0,-0.06137955,57.09307,86.78242,170.2869,990,1208,477.8959,0.0,0.06896183,31.24452,53.45008000000001,222.2011,1207,1208,0.6779982,0,6.568788e-05,0.03491462,0.06612059,0.02804553,1205,1208,0.7167906999999999,4.0501020000000005e-05,7.331977e-05,0.04046949,0.07816552,0.03205385,1208,1208,0.5460585,0.0,5.639646e-05,0.03423331,0.0661911,0.02630099,1203,1208,0.5738831,0.0001591528,6.457244000000001e-05,0.03815449,0.07319791,0.02939617,1208,1208,0.9408536,0.0,0.00011349790000000001,0.06278206,0.1066083,0.0795498,1206,1208,0.9408536,0.002470511,0.0001180808,0.0653929,0.10931600000000001,0.0822613,1208,1208,1.1543039999999999e-05,7.641954e-11,-9.295542e-10,5.305866999999999e-07,9.013379999999999e-07,7.136665000000001e-07,1208,1208,218
32762,0.025,0.9197076,0.02422742,9.099065999999999e-05,0.10914460000000001,0.15444639999999998,0.7584059,1168,1168,460.517,-16.15051,0.01695179,16.36226,52.27424,21.23476,1168,1168,228.3328,0,0.07814087,57.61889,72.87436,52.00721,441,1168,492.3076,0.0,0.06200865,35.977759999999996,70.52753,182.875,1158,1168,0.7527001,0,2.6411970000000002e-05,0.04914851,0.08664343,0.04495298,1143,1168,0.7527001,0.0,3.336354e-05,0.05672118,0.09233308,0.05078044,1164,1168,0.8102686,0.0,2.3864970000000004e-05,0.04363867,0.08282807,0.0392019,1139,1168,0.8102686,0.0,2.5526390000000003e-05,0.04826411,0.08472789,0.04322402,1164,1168,0.6821763000000001,0.0,-1.910284e-05,0.06829273,0.09918084,0.12202819999999999,1151,1168,0.6821763000000001,0.0,-1.5877929999999998e-05,0.0701476,0.101592,0.12473599999999999,1165,1168,1.045463e-06,1.225244e-11,-9.723989e-11,9.572432000000001e-08,1.45266e-07,1.275428e-07,1168,1168,727
80292,0.025,0.9531272,0.12393989999999999,-0.0006032872,0.09025786,0.1554787,0.8893868,348,348,460.517,-4.8562,0.14037470000000002,22.446260000000002,53.34157,36.11792,348,348,259.8129,0,-0.358946,48.09104,79.9405,217.8061,308,348,449.5743,0.0,0.02059199,22.29476,49.374590000000005,255.015,346,348,0.3934264,0,0.0001679177,0.03024119,0.05886348,0.02183839,343,348,0.6461138000000001,0.0009204582,0.000233926,0.03581442,0.07247819,0.02600334,348,348,0.3556217,0.0,9.537937e-05,0.02551459,0.05156019,0.01862939,340,348,0.7279393,0.00017061880000000001,0.0002447271,0.03938822,0.07904033,0.0279545,348,348,0.5429086999999999,0.0,0.00026280220000000004,0.05177689,0.08308654,0.06519479,343,348,0.5429086999999999,0.006339374,0.00039625669999999996,0.06196036,0.09648427,0.07326727,348,348,1.1205899999999999e-05,3.347919e-08,-6.137771e-09,1.879956e-06,2.388358e-06,3.585307e-06,348,348,40
